TaxonKey,TaxonName,CommonName
605566,Chaetodon melannotus,Blackback butterflyfish
605567,Chaetodon mertensii,Atoll butterflyfish
605572,Chaetodon quadrimaculatus,Fourspot butterflyfish
605574,Chaetodon reticulatus,Mailed butterflyfish
605578,Chaetodon trifascialis,Chevron butterflyfish
605580,Chaetodon ulietensis,Pacific doublesaddle butterflyfish
605581,Chaetodon unimaculatus,Teardrop butterflyfish
605584,Forcipiger flavissimus,Longnose butterfly fish
605586,Hemitaurichthys polylepis,Pyramid butterflyfish
605588,Heniochus acuminatus,Pennant coralfish
605589,Heniochus chrysostomus,Threeband pennantfish
605590,Heniochus monoceros,Masked bannerfish
605591,Heniochus singularius,Singular bannerfish
605595,Oxycheilinus arenatus,Speckled maori wrasse
605597,Oxycheilinus celebicus,Celebes wrasse
605598,Cheilinus chlorourus,Floral wrasse
605599,Oxycheilinus digramma,Cheeklined wrasse
605600,Cheilinus fasciatus,Redbreasted wrasse
605601,Oxycheilinus orientalis,Oriental maori wrasse
605603,Cheilinus trilobatus,Tripletail wrasse
605604,Cheilinus undulatus,Humphead wrasse
605605,Oxycheilinus unifasciatus,Ringtail maori wrasse
605606,Epibulus insidiator,Slingjaw wrasse
605607,Cymolutes praetextatus,Knife razorfish
605610,Novaculichthys taeniourus,Rockmover wrasse
605611,Iniistius aneitensis,Yellowblotch razorfish
605613,Iniistius pavo,Peacock wrasse
605621,Pteragogus guttatus,Sneaky wrasse
605623,Cheilio inermis,Cigar wrasse
605624,Coris aygula,Clown coris
605626,Gomphosus varius,Bird wrasse
605627,Halichoeres biocellatus,Redlined wrasse
605630,Halichoeres margaritaceus,Pink-belly wrasse
605631,Halichoeres marginatus,Dusky wrasse
605632,Halichoeres richmondi,Richmonds wrasse
605634,Halichoeres trimaculatus,Threespot wrasse
605635,Hemigymnus fasciatus,Barred thicklip
605636,Hemigymnus melapterus,Blackeye thicklip
605638,Hologymnosus doliatus,Pastel ringwrasse
605640,Stethojulis bandanensis,Red shoulder wrasse
605641,Stethojulis strigiventer,Three-ribbon wrasse
605643,Thalassoma hardwicke,Sixbar wrasse
605645,Thalassoma lunare,Moon wrasse
605646,Thalassoma lutescens,Yellow-brown wrasse
605647,Thalassoma purpureum,Surge wrasse
605648,Thalassoma quinquevittatum,Fivestripe wrasse
605649,Thalassoma trilobatum,Christmas wrasse
605652,Neomyxus leuciscus,Acutejawed mullet
605653,Crenimugil crenilabis,Fringelip mullet
605656,Ellochelon vaigiensis,Squaretail mullet
605658,Valamugil engeli,Kanda
605659,Moolgarda seheli,Bluespot mullet
605675,Chromis margaritifer,Bicolor chromis
605677,Chromis ternatensis,Ternate chromis
605679,Chromis viridis,Bluegreen damselfish
605687,Abudefduf septemfasciatus,Banded sergeant
605688,Abudefduf sexfasciatus,Scissortail sergeant
605689,Abudefduf sordidus,Blackspot sergeant
605693,Chrysiptera biocellata,Twinspot damselfish
605696,Chrysiptera glauca,Grey demoiselle
605712,Plectroglyphidodon lacrymatus,Whitespotted devil
605713,Plectroglyphidodon leucozonus,Singlebar devil
605715,Pomacentrus amboinensis,Ambon damsel
605726,Pomacentrus pavo,Sapphire damsel
605730,Pomacentrus vaiuli,Ocellate damselfish
605733,Sphyraena acutipinnis,Sharpfin barracuda
605734,Sphyraena forsteri,Bigeye barracuda
605736,Sphyraena novaehollandiae,Australian barracuda
605737,Platax orbicularis,Orbicular batfish
605738,Platax pinnatus,Dusky batfish
605739,Platax teira,Longfin batfish
605740,Apogonichthys ocellatus,Ocellated cardinalfish
605748,Apogon trimaculatus,Three-spot cardinalfish
605752,Apogon coccineus,Ruby cardinalfish
605756,Apogon exostigma,Narrowstripe cardinalfish
605758,Apogon kallopterus,Iridescent cardinalfish
605761,Ostorhinchus lateralis,Humpback cardinal
605763,Nectamia bandanensis,Bigeye cardinalfish
605764,Nectamia savayensis,Samoan cardinalfish
605765,Apogon guamensis,Guam cardinalfish
605766,Apogon angustatus,Broadstriped cardinalfish
605767,Apogon taeniophorus,Reef-flat cardinalfish
605768,Apogon novemfasciatus,Sevenstriped cardinalfish
605772,Zoramia gilberti,Gilberts cardinalfish
605774,Zoramia perlita,Pearly cardinalfish
605780,Cheilodipterus artus,Wolf cardinalfish
605781,Cheilodipterus macrodon,Largetoothed cardinalfish
605782,Cheilodipterus singapurensis,Truncate cardinalfish
605790,Kuhlia mugil,Barred flagtail
605791,Priacanthus hamrur,Moontail bullseye
605795,Malacanthus brevirostris,Quakerfish
605796,Malacanthus latovittatus,Blue blanquillo
605797,Gazza achlamys,Smalltoothed ponyfish
605798,Equulites stercorarius,Oblong slipmouth
605801,Gerres oblongus,Slender silverbiddy
605802,Pempheris oualensis,Silver sweeper
605803,Parapriacanthus ransonneti,Pigmy sweeper
605804,Kyphosus bigibbus,Brown chub
605805,Kyphosus cinerascens,Blue seachub
605806,Kyphosus vaigiensis,Brassy chub
605807,Monodactylus argenteus,Silver moony
605814,Sebastapistes strongia,Barchin scorpionfish
605819,Scorpaenodes guamensis,Guam scorpionfish
605820,Scorpaenopsis macrochir,Flasher scorpionfish
605822,Scorpaenopsis oxycephala,Tassled scorpionfish
605825,Synanceia verrucosa,Stonefish
605831,Cirrhitus pinnulatus,Stocky hawkfish
605832,Neocirrhites armatus,Flame hawkfish
605836,Cantherhines dumerilii,Whitespotted filefish
605838,Melichthys vidua,Pinktail triggerfish
605839,Rhinecanthus aculeatus,White-banded triggerfish
605840,Rhinecanthus rectangulus,Wedge-tail triggerfish
605841,Sargocentron microstoma,Smallmouth squirrelfish
605842,Sufflamen chrysopterum,Halfmoon triggerfish
605851,Nemipterus bipunctatus,Delagoa threadfin bream
605852,Nemipterus randalli,Randalls threadfin bream
605867,Pentapodus caninus,Small-toothed whiptail
605873,Pentapodus trivittatus,Three-striped whiptail
605877,Scolopsis lineata,Striped monocle bream
605885,Scolopsis bilineata,Two-lined monocle bream
605889,Scolopsis taeniata,Blackstreaked monocle bream
605891,Alopias pelagicus,Pelagic thresher
605895,Nebrius ferrugineus,Tawny nurse shark
605923,Pseudocarcharias kamoharai,Crocodile shark
605933,Mustelus lenticulatus,Spotted estuary smooth-hound
605937,Mustelus schmitti,Narrownose smoothhound
605938,Mustelus asterias,Starry smooth-hound
605948,Triakis megalopterus,Sharptooth houndshark
605950,Zanclus cornutus,Moorish idol
605952,Paracirrhites forsteri,Blackside hawkfish
605953,Paracirrhites hemistictus,Whitespot hawkfish
605961,Corythoichthys intestinalis,Scribbled pipefish
605983,Mulloidichthys flavolineatus,Yellowstripe goatfish
605984,Mulloidichthys vanicolensis,Yellowfin goatfish
605985,Mulloidichthys pfluegeri,Orange goatfish
605986,Parupeneus barberinoides,Bicolor goatfish
605987,Parupeneus barberinus,Dash-and-dot goatfish
605988,Parupeneus trifasciatus,Doublebar goatfish
605989,Parupeneus ciliatus,Whitesaddle goatfish
605990,Parupeneus cyclostomus,Goldsaddle goatfish
605991,Parupeneus heptacanthus,Cinnabar goatfish
605992,Parupeneus indicus,Indian goatfish
605993,Parupeneus multifasciatus,Manybar goatfish
605994,Parupeneus pleurostigma,Sidespot goatfish
605995,Upeneus taeniopterus,Finstripe goatfish
605996,Gerres oyena,Common silverbiddy
606006,Pomadasys kaakan,Javelin grunter
606011,Acanthurus nigricans,Whitecheek surgeonfish
606012,Ctenochaetus binotatus,Twospot surgeonfish
606017,Paracanthurus hepatus,Palette surgeonfish
606018,Zebrasoma flavescens,Yellow tang
606019,Naso annulatus,Whitemargin unicornfish
606020,Naso brachycentron,Humpback unicornfish
606021,Naso brevirostris,Spotted unicornfish
606023,Naso tuberosus,Humpnose unicornfish
606024,Naso vlamingii,Bignose unicornfish
606025,Balistapus undulatus,Orangelined triggerfish
606026,Balistoides viridescens,Titan triggerfish
606027,Pseudobalistes flavimarginatus,Yellowmargin triggerfish
606028,Rhinecanthus verrucosus,Blackbelly triggerfish
606029,Sufflamen bursa,Boomerang triggerfish
606030,Xanthichthys auromarginatus,Gilded triggerfish
606049,Istiblennius edentulus,Rippled rockskipper
606058,Salarias fasciatus,Jewelled blenny
606082,Plectropomus areolatus,Squaretail coralgrouper
606083,Cynoglossus macrostomus,Malabar tonguesole
606317,Totoaba macdonaldi,Totoaba
606356,Acanthopagrus latus,Yellowfin seabream
606358,Chirocentrus dorab,Dorab wolfherring
606359,Xanthichthys caeruleolineatus,Outrigger triggerfish
606360,Caranx papuensis,Brassy trevally
606362,Plectorhinchus albovittatus,Two-stripe sweetlips
606366,Plectorhinchus gibbosus,Harry hotlips
606368,Plectorhinchus obscurus,Giant sweetlips
606369,Plectorhinchus vittatus,Indian Ocean oriental sweetlips
606370,Plectorhinchus picus,Painted sweetlip
606380,Gymnothorax javanicus,Giant moray
606395,Gymnothorax pictus,Peppered moray
606396,Cephalopholis argus,Peacock hind
606399,Lactoria cornuta,Longhorn cowfish
606400,Arothron nigropunctatus,Blackspotted puffer
606405,Sphyraena ensis,Mexican barracuda
606407,Chilomycterus schoepfii,Striped burrfish
606416,Polydactylus sexfilis,Sixfinger threadfin
606422,Rajella lintea,Sailray
606426,Pagrus auratus,Silver seabream
606438,Scarus tricolor,Tricolour parrotfish
606439,Epinephelus malabaricus,Malabar grouper
606440,Epinephelus coeruleopunctatus,Whitespotted grouper
606441,Aethaloperca rogaa,Redmouth grouper
606444,Cephalopholis boenak,Chocolate hind
606447,Cephalopholis hemistiktos,Yellowfin hind
606448,Cephalopholis leopardus,Leopard hind
606450,Cephalopholis miniata,Coral hind
606452,Cephalopholis polleni,Harlequin hind
606453,Cephalopholis sexmaculata,Sixblotch hind
606454,Cephalopholis sonnerati,Tomato hind
606455,Cephalopholis spiloparaea,Strawberry hind
606456,Cephalopholis urodeta,Darkfin hind
606457,Cromileptes altivelis,Humpback grouper
606465,Epinephelus coioides,Orangespotted grouper
606466,Epinephelus corallicola,Coral grouper
606468,Epinephelus lanceolatus,Giant grouper
606470,Epinephelus marginatus,Dusky grouper
606471,Epinephelus melanostigma,One-blotch grouper
606473,Epinephelus polyphekadion,Camouflage grouper
606477,Gracila albomarginata,Masked grouper
606478,Variola albimarginata,White-edged lyretail
606479,Saurida tumbil,Greater lizardfish
606482,Taeniurops meyeni,Round ribbontail ray
606490,Enchelycore schismatorhynchus,White-margined moray
606495,Gymnothorax fimbriatus,Fimbriated moray
606503,Aeoliscus strigatus,Razorfish
606504,Pomacanthus imperator,Emperor angelfish
606505,Myripristis vittata,Whitetip soldierfish
606506,Myripristis adusta,Shadowfin soldierfish
606507,Sargocentron spiniferum,Sabre squirrelfish
606526,Arothron stellatus,Stellate puffer
606531,Acanthopagrus schlegelii,Blackhead seabream
606532,Oplegnathus fasciatus,Barred knifejaw
606534,Sebastes schlegelii,Korean rockfish
606537,Girella punctata,Girella punctata
606541,Canthigaster bennetti,Bennett's sharpnose puffer
606550,Chaetodon ornatissimus,Ornate butterflyfish
606552,Diodon liturosus,Blackblotched porcupinefish
606559,Oxymonacanthus longirostris,Harlequin filefish
606561,Parapercis clathrata,Latticed sandperch
606572,Pygoplites diacanthus,Regal angelfish
606574,Hyporthodus septemfasciatus,Convict grouper
606575,Valenciennea strigata,Blueband goby
606578,Canthigaster solandri,Spotted sharpnose
606582,Neoniphon opercularis,Black squirrelfish
606630,Abudefduf vaigiensis,Indo-Pacific sergeant
606635,Cantherhines pardalis,Honeycomb filefish
606660,Epinephelus hexagonatus,Starspotted grouper
606661,Epinephelus macrospilos,Snubnose grouper
606670,Parapercis millepunctata,Blackdotted sand perch
606672,Amanses scopas,Broom filefish
606932,Naso thynnoides,Oneknife unicornfish
606940,Plectorhinchus lineatus,Yellowbanded sweetlips
606948,Bathyraja eatonii,Eatons skate
606950,Bathyraja maccaini,McCains skate
606951,Bathyraja meridionalis,Darkbelly skate
606952,Bathyraja murrayi,Murrays skate
606953,Amblyraja georgiana,Antarctic starry skate
606954,Amblyraja taaf,Whiteleg skate
606957,Diastobranchus capensis,Basketwork eel
606974,Benthalbella elongata,Benthalbella elongata
606978,Magnisudis prionosa,Southern barracudina
606979,Notolepis annulata,Ringed barracudina
606985,Electrona carlsbergi,Electron subantarctic
606988,Gymnoscopelus bolini,Grand lanternfish
606990,Gymnoscopelus nicholsi,Nichol's lanternfish
606992,Gymnoscopelus fraseri,Fraser__s lanternfish
607008,Protomyctophum choriodon,Gaptooth lanternfish
607039,Dissostichus mawsoni,Antarctic toothfish
607040,Gobionotothen acuta,Triangular rockcod
607041,Gobionotothen gibberifrons,Humped rockcod
607045,Lepidonotothen squamifrons,Grey rockcod
607046,Lepidonotothen mizops,Toad notie
607047,Lepidonotothen nudifrons,Yellowfin notie
607048,Nototheniops larseni,Painted notie
607052,Patagonotothen brevicauda brevicauda,Patagonian rockcod
607054,Trematomus eulepidotus,Blunt scalyhead
607055,Trematomus hansoni,Striped rockcod
607065,Artedidraco mirus,South Georgian plunderfish
607082,Pogonophryne permitini,Plunderfish
607103,Parachaenichthys georgianus,Antarctic dragonfish
607105,Psilodraco breviceps,Hairless dragonet
607108,Chionobathyscus dewitti,Chionobathyscus dewitti
607109,Chionodraco hamatus,Hooked icefish
607110,Chionodraco myersi,Myers' icefish
607111,Cryodraco antarcticus,Longfingered icefish
607113,Neopagetopsis ionah,Jonah's icefish
607117,Paradiplospinus gracilis,Slender escolar
607118,Icichthys australis,Southern driftfish
607120,Mancopsetta maculata,Antarctic armless flounder
607124,Muraenolepis marmorata,Marbled moray cod
607126,Muraenolepis microps,Smalleye moray cod
607132,Coelorinchus marinii,Marinis grenadier
607136,Cynomacrurus piriei,Dogtooth grenadier
607137,Macrourus carinatus,Ridge scaled rattail
607138,Macrourus holotrachys,Bigeye grenadier
607139,Macrourus whitsoni,Whitson's grenadier
607141,Echiodon cryomargarites,Messmate
607145,Lampris immaculatus,Southern opah
607151,Pseudocyttus maculatus,Smooth oreo dory
607152,Zanclorhynchus spinifer,Antarctic horsefish
607184,Anomalops katoptron,Splitfin flashlightfish
607187,Arothron manilensis,Narrowlined puffer
607198,Amblygobius phalaena,Whitebarred goby
607211,Ctenogobiops tangaroai,Tangaroa shrimpgoby
607292,Synodus binotatus,Two-spot lizard fish
607306,Myripristis kuntee,Shoulderbar soldierfish
607308,Myripristis pralinia,Scarlet soldierfish
607309,Myripristis violacea,Lattice soldierfish
607310,Neoniphon argenteus,Clearfin squirrelfish
607311,Sargocentron tiereoides,Pink squirrelfish
607327,Balistes capriscus,Grey triggerfish
607329,Epinephelus awoara,Yellow grouper
607340,Epinephelus diacanthus,Spinycheek grouper
607348,Epinephelus howlandi,Blacksaddle grouper
607354,Epinephelus multinotatus,White-blotched grouper
607355,Hyporthodus octofasciatus,Eightbar grouper
607358,Epinephelus polylepis,Smallscaled grouper
607362,Epinephelus socialis,Surge grouper
607366,Epinephelus summana,Summan grouper
607367,Epinephelus timorensis,Yellowspotted grouper
607372,Plectropomus laevis,Blacksaddled coralgrouper
607374,Saloptia powelli,Golden grouper
607376,Plesiobatis daviesi,Deepwater stingray
607430,Plectropomus pessuliferus,Roving coralgrouper
607447,Gymnothorax pindae,Pinda moray
607459,Gymnothorax berndti,Y-patterned moray
607505,Hyporhamphus acutus acutus,Pacific halfbeak
607530,Trichopsetta caribbaea,Caribbean flounder
607532,Symphurus plagusia,Duskycheek tonguefish
607535,Genyatremus luteus,Torroto grunt
607547,Gymnothorax moringa,Spotted moray
607553,Lepophidium brevibarbe,Shortbeard cusk-eel
607557,Polymixia nobilis,Stout beardfish
607579,Galaxias maculatus,Inanga
607580,Trinectes paulistanus,Slipper sole
607609,Atlantoraja cyclophora,Eyespot skate
607613,Rostroraja alba,White skate
607614,Leucoraja circularis,Sandy ray
607616,Dipturus oxyrinchus,Longnosed skate
607617,Raja undulata,Undulate ray
607618,Mobula mobular,Devil fish
607619,Leucoraja fullonica,Shagreen ray
607620,Micropogonias furnieri,Whitemouth croaker
607626,Plectorhinchus sordidus,Sordid rubberlip
607641,Bothus mancus,Flowery flounder
607691,Dactyloptena peterseni,Starry flying gurnard
607699,Gerres longirostris,Strongspine silver-biddy
607700,Gerres methueni,Striped silver biddy
607703,Plectorhinchus gaterinus,Blackspotted rubberlips
607706,Plectorhinchus schotaf,Minstrel sweetlip
607708,Pomadasys stridens,Striped piggy
607710,Hyporhamphus affinis,Tropical halfbeak
607714,Sargocentron praslin,Darkstriped squirrelfish
607715,Kuhlia rupestris,Rock flagtail
607773,Myripristis amaena,Brick soldierfish
607848,Apogon amboinensis,Ambon cardinalfish
607879,Upeneus japonicus,Bensasi goatfish
607897,Sorsogona prionota,Halfspined flathead
607903,Pomacanthus maculosus,Yellowbar angelfish
607931,Crenidens crenidens,Karenteen seabream
607937,Sphyraena flavicauda,Yellowtail barracuda
607938,Sphyraena putnamae,Sawtooth barracuda
607939,Sphyraena qenie,Blackfin barracuda
607943,Synodus jaculum,Lighthouse lizardfish
607945,Pelates quadrilineatus,Fourlined terapon
607952,Zeus capensis,Cape dory
608030,Oxyurichthys papuensis,Frogface goby
608053,Myrichthys colubrinus,Harlequin snake eel
608069,Diplodus sargus helenae,St. Helena white seabream
608087,Enchelycore anatina,Fangtooth moray
608092,Parapristipoma octolineatum,African striped grunt
608097,Chlorurus microrhinos,Steephead parrotfish
608107,Evynnis cardinalis,Threadfin porgy
608121,Strongylura incisa,Reef needlefish
608166,Rhabdosargus haffara,Haffara seabream
608172,Odontesthes regia,Chilean silverside
608173,Girella tricuspidata,Parore
608187,Pampus chinensis,Chinese silver pomfret
608198,Takifugu rubripes,Japanese pufferfish
608220,Porichthys margaritatus,Daisy midshipman
608243,Ephippus orbis,Orbfish
608273,Bollmannia chlamydes,Gobido cabezon
608275,Brotula clarkae,Pacific bearded brotula
608280,Pontinus macrocephalus,Largeheaded scorpionfish
608289,Fistularia corneta,Pacific cornetfish
608314,Lepturacanthus savala,Savalai hairtail
608315,Plectorhinchus pictus,Trout sweetlips
608326,Parapsettus panamensis,Panama spadefish
608390,Seriolella porosa,Choicy ruff
608421,Bregmaceros mcclellandi,Unicorn cod
